text,category,urgency
Пользователь не может войти в учетную запись из-за сброса пароля,Сбой приложения,Низкий
Отказ жесткого диска на файловом сервере,Аппаратный сбой,Высокий
Обнаружен криптолокер на рабочей станции бухгалтерии,Нарушение безопасности,Высокий
Зависла система электронного документооборота,Сбой приложения,Средний
Пропал интернет в одном из удаленных офисов,Потеря связи,Средний
Замедлена работа CRM-системы в часы пик,Ухудшение сервиса,Средний
Сбой в работе системы резервного копирования,Сбой приложения,Высокий
Перегрев и автоматическое отключение сервера виртуализации,Аппаратный сбой,Высокий
Не печатает сетевой принтер в общем отделе,Сбой приложения,Низкий
Обрыв магистрального интернет-канала провайдера,Потеря связи,Высокий
DDoS-атака на веб-портал компании,Нарушение безопасности,Высокий
Потеря пакетов данных в беспроводной сети,Ухудшение сервиса,Низкий
Сбой в работе IP-телефонии,Сбой приложения,Средний
Выход из строя блока питания маршрутизатора,Аппаратный сбой,Средний
Утечка данных клиентов через уязвимость в веб-форме,Нарушение безопасности,Высокий
Не обновляется антивирусное ПО на 30% рабочих станций,Ухудшение сервиса,Средний
Полный отказ системы электронной почты,Сбой приложения,Высокий
Замыкание в коммутаторе этажа,Аппаратный сбой,Средний
Не работает система видеонаблюдения на проходной,Сбой приложения,Средний
Фишинговая рассылка по корпоративной почте,Нарушение безопасности,Средний
Высокая загрузка ЦП на основном сервере БД,Ухудшение сервиса,Высокий
Несанкционированное изменение конфигурации межсетевого экрана,Нарушение безопасности,Высокий
Отказ системы контроля доступа (СКУД),Сбой приложения,Средний
Потеря связи с облачным хранилищем,Потеря связи,Средний
Зависание компьютера кассира при проведении платежа,Сбой приложения,Высокий
Выход из строя системы охлаждения в серверной,Аппаратный сбой,Высокий
Утерян корпоративный мобильный телефон с почтой,Нарушение безопасности,Средний
Медленная загрузка страниц интранет-портала,Ухудшение сервиса,Низкий
Сбой в работе службы каталогов (Active Directory),Сбой приложения,Высокий
Физическое повреждение кабеля ЛВС в коридоре,Аппаратный сбой,Низкий
Не работает кнопка "Заказать звонок" на сайте,Сбой приложения,Низкий
Обнаружено шпионское ПО на ПК менеджера по продажам,Нарушение безопасности,Средний
Перегружен канал связи с филиалом,Ухудшение сервиса,Средний
Сбой в работе системы складского учета,Сбой приложения,Высокий
Отказ дискового массива (RAID),Аппаратный сбой,Высокий
Подозрительная сетевая активность с рабочей станции,Нарушение безопасности,Высокий
Не отправляются автоматические E-mail уведомления,Сбой приложения,Средний
Не работает факсимильная связь,Сбой приложения,Низкий
Скачок напряжения повредил ИБП,Аппаратный сбой,Средний
Утечка паролей сотрудников в открытый доступ,Нарушение безопасности,Высокий
Задержки в отображении реальных данных в отчетной системе,Ухудшение сервиса,Средний
Не работает система онлайн-записи на прием,Сбой приложения,Средний
Поломка проектора в переговорной комнате,Аппаратный сбой,Низкий
Блокировка учетных записей пользователей из-за подбора паролей,Нарушение безопасности,Средний
Периодические разрывы VPN-соединения для удаленных работников,Потеря связи,Средний
